id	Accession	Release_Date	Species	Length	Geo_Location	Geo_Location_Abbreviation	Sub_Geo_Location	Host	Isolation_Source
MN646689.1	MN646689	2020-01-21T00:00:00Z	Orthohepevirus A	7307	France	FR	France	Homo sapiens	blood
MN646690.1	MN646690	2020-01-21T00:00:00Z	Orthohepevirus A	7342	France	FR	France	Homo sapiens	blood
MN646691.1	MN646691	2020-01-21T00:00:00Z	Orthohepevirus A	7345	France	FR	France	Homo sapiens	blood
MN646692.1	MN646692	2020-01-21T00:00:00Z	Orthohepevirus A	7315	France	FR	France	Homo sapiens	blood
MN646693.1	MN646693	2020-01-21T00:00:00Z	Orthohepevirus A	7424	France	FR	France	Homo sapiens	blood
MN646694.1	MN646694	2020-01-21T00:00:00Z	Orthohepevirus A	7291	France	FR	France	Homo sapiens	blood
MN646695.1	MN646695	2020-01-21T00:00:00Z	Orthohepevirus A	7341	France	FR	France	Homo sapiens	blood
MN646696.1	MN646696	2020-01-21T00:00:00Z	Orthohepevirus A	7306	France	FR	France	Homo sapiens	blood
MN401237.1	MN401237	2019-11-30T00:00:00Z	Orthohepevirus A	7232	France	FR	France	Homo sapiens	feces
MN401238.1	MN401238	2019-11-30T00:00:00Z	Orthohepevirus A	7138	France	FR	France	Homo sapiens	feces
MH991993.1	MH991993	2019-05-31T00:00:00Z	Orthohepevirus A	7202	Bangladesh	BD	Bangladesh	Homo sapiens	
MH991994.1	MH991994	2019-05-31T00:00:00Z	Orthohepevirus A	7202	Bangladesh	BD	Bangladesh	Homo sapiens	
MH991995.1	MH991995	2019-05-31T00:00:00Z	Orthohepevirus A	7204	Bangladesh	BD	Bangladesh	Homo sapiens	
MH991996.1	MH991996	2019-05-31T00:00:00Z	Orthohepevirus A	7214	Bangladesh	BD	Bangladesh	Homo sapiens	
MH991997.1	MH991997	2019-05-31T00:00:00Z	Orthohepevirus A	7214	Bangladesh	BD	Bangladesh	Homo sapiens	
MH991998.1	MH991998	2019-05-31T00:00:00Z	Orthohepevirus A	7214	Bangladesh	BD	Bangladesh	Homo sapiens	
MH991999.1	MH991999	2019-05-31T00:00:00Z	Orthohepevirus A	7214	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992000.1	MH992000	2019-05-31T00:00:00Z	Orthohepevirus A	7214	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992001.1	MH992001	2019-05-31T00:00:00Z	Orthohepevirus A	7214	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992002.1	MH992002	2019-05-31T00:00:00Z	Orthohepevirus A	7215	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992003.1	MH992003	2019-05-31T00:00:00Z	Orthohepevirus A	7215	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992004.1	MH992004	2019-05-31T00:00:00Z	Orthohepevirus A	7215	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992005.1	MH992005	2019-05-31T00:00:00Z	Orthohepevirus A	7215	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992006.1	MH992006	2019-05-31T00:00:00Z	Orthohepevirus A	7215	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992007.1	MH992007	2019-05-31T00:00:00Z	Orthohepevirus A	7216	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992008.1	MH992008	2019-05-31T00:00:00Z	Orthohepevirus A	7216	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992009.1	MH992009	2019-05-31T00:00:00Z	Orthohepevirus A	7216	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992010.1	MH992010	2019-05-31T00:00:00Z	Orthohepevirus A	7216	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992011.1	MH992011	2019-05-31T00:00:00Z	Orthohepevirus A	7217	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992012.1	MH992012	2019-05-31T00:00:00Z	Orthohepevirus A	7217	Bangladesh	BD	Bangladesh	Homo sapiens	
MH992013.1	MH992013	2019-05-31T00:00:00Z	Orthohepevirus A	7221	Bangladesh	BD	Bangladesh	Homo sapiens	
MH504124.1	MH504124	2019-03-03T00:00:00Z	Orthohepevirus A	7237	United Kingdom	UK	United Kingdom: Bedford	Homo sapiens	blood
MH504125.1	MH504125	2019-03-03T00:00:00Z	Orthohepevirus A	7229	United Kingdom	UK	United Kingdom: Aylesbury	Homo sapiens	blood
MH504126.1	MH504126	2019-03-03T00:00:00Z	Orthohepevirus A	7236	United Kingdom	UK	United Kingdom: Surrey	Homo sapiens	blood
MH504127.1	MH504127	2019-03-03T00:00:00Z	Orthohepevirus A	7221	United Kingdom	UK	United Kingdom: Gloucester	Homo sapiens	blood
MH504128.1	MH504128	2019-03-03T00:00:00Z	Orthohepevirus A	7231	United Kingdom	UK	United Kingdom: Brighton	Homo sapiens	blood
MH504129.1	MH504129	2019-03-03T00:00:00Z	Orthohepevirus A	7237	United Kingdom	UK	United Kingdom: Poole	Homo sapiens	blood
MH504130.1	MH504130	2019-03-03T00:00:00Z	Orthohepevirus A	7206	United Kingdom	UK	United Kingdom: Newcastle	Homo sapiens	blood
MH504131.1	MH504131	2019-03-03T00:00:00Z	Orthohepevirus A	7231	United Kingdom	UK	United Kingdom: Newcastle	Homo sapiens	blood
MH504132.1	MH504132	2019-03-03T00:00:00Z	Orthohepevirus A	7215	United Kingdom	UK	United Kingdom: Manchester	Homo sapiens	blood
MH504133.1	MH504133	2019-03-03T00:00:00Z	Orthohepevirus A	7229	United Kingdom	UK	United Kingdom: Oxford	Homo sapiens	blood
MH504134.1	MH504134	2019-03-03T00:00:00Z	Orthohepevirus A	7237	United Kingdom	UK	United Kingdom: London	Homo sapiens	blood
MH504135.1	MH504135	2019-03-03T00:00:00Z	Orthohepevirus A	7237	United Kingdom	UK	United Kingdom: Southampton	Homo sapiens	blood
MH504136.1	MH504136	2019-03-03T00:00:00Z	Orthohepevirus A	7218	United Kingdom	UK	United Kingdom: Gloucester	Homo sapiens	blood
MH504137.1	MH504137	2019-03-03T00:00:00Z	Orthohepevirus A	7237	United Kingdom	UK	United Kingdom: Poole	Homo sapiens	blood
MH504138.1	MH504138	2019-03-03T00:00:00Z	Orthohepevirus A	7237	United Kingdom	UK	United Kingdom: Oldham	Homo sapiens	blood
MH504139.1	MH504139	2019-03-03T00:00:00Z	Orthohepevirus A	7230	United Kingdom	UK	United Kingdom: Gloucester	Homo sapiens	blood
MH504140.1	MH504140	2019-03-03T00:00:00Z	Orthohepevirus A	7241	United Kingdom	UK	United Kingdom: Nottingham	Homo sapiens	blood
MH504141.1	MH504141	2019-03-03T00:00:00Z	Orthohepevirus A	7222	United Kingdom	UK	United Kingdom: Portsmouth	Homo sapiens	blood
MH504142.1	MH504142	2019-03-03T00:00:00Z	Orthohepevirus A	7235	United Kingdom	UK	United Kingdom: Manchester	Homo sapiens	blood
MH504143.1	MH504143	2019-03-03T00:00:00Z	Orthohepevirus A	7234	United Kingdom	UK	United Kingdom: Derby	Homo sapiens	blood
MH504144.1	MH504144	2019-03-03T00:00:00Z	Orthohepevirus A	7236	United Kingdom	UK	United Kingdom: Swansea	Homo sapiens	blood
MH504145.1	MH504145	2019-03-03T00:00:00Z	Orthohepevirus A	7241	United Kingdom	UK	United Kingdom: Surrey	Homo sapiens	blood
